area,convex_area,bbox_area,major_axis_length,minor_axis_length,perimeter,equivalent_diameter,mean_intensity,solidity,eccentricity,class
6740,8355,13542,242.5548009,44.97147771,653.7411614,92.63711206,0.156878691,0.806702573,0.982661723,Atopic Dermatitis
9090,9566,15096,222.7042754,59.69433687,595.0426766,107.5813528,0.074447475,0.950240435,0.963406931,Atopic Dermatitis
18892,20090,27528,255.3559789,104.7915562,705.5929291,155.0936539,0.055925407,0.940368342,0.911917131,Atopic Dermatitis
17980,24742,35742,269.1462457,121.2378863,1412.105735,151.3038235,0.201481835,0.726699539,0.892799857,Atopic Dermatitis
11142,13223,15762,257.3443036,61.37587502,672.1492783,119.1068218,0.10517943,0.842622703,0.971143205,Atopic Dermatitis
19746,32059,33516,357.77862,101.1367558,2004.349422,158.5603609,0.292491934,0.615926885,0.959214357,Atopic Dermatitis
30532,50596,65268,387.5660958,207.3862641,1899.478318,197.1662998,0.372921605,0.603446913,0.844789303,Atopic Dermatitis
1327,2235,3612,80.40678658,33.65395079,299.3147545,41.10460894,0.536416708,0.593736018,0.908195531,Atopic Dermatitis
5626,13814,19758,262.3031373,48.6847396,764.2630227,84.63595973,0.380135345,0.407267989,0.982624462,Atopic Dermatitis
1485,1885,2645,112.1076103,18.80240293,291.6934342,43.48287851,0.348301159,0.787798408,0.985835106,Atopic Dermatitis
1575,2174,3233,57.13694971,42.69695078,318.2081528,44.78115991,0.557485843,0.724471021,0.664516163,Atopic Dermatitis
8462,9682,15318,239.8242909,54.2660198,663.5046174,103.7986177,0.285748746,0.873992977,0.974063675,Atopic Dermatitis
5646,6203,11130,196.3670273,43.71502004,524.0660172,84.78626345,0.275254329,0.91020474,0.974905537,Atopic Dermatitis
4005,12424,20440,144.1357053,75.54076155,710.5584412,71.40955382,0.443337166,0.322359948,0.851659984,Atopic Dermatitis
2288,3265,6216,107.6721417,37.83240778,328.7878426,53.97380919,0.249380031,0.700765697,0.93623791,Atopic Dermatitis
6710,12196,12642,379.8468346,33.94855753,752.119841,92.43071646,0.052740784,0.550180387,0.995998107,Atopic Dermatitis
1220,1753,3036,66.82542203,32.11923155,215.3969696,39.41258992,0.195213731,0.6959498,0.876915868,Atopic Dermatitis
1048,1528,2958,92.71030729,17.36250827,226.1665222,36.52882482,0.311670728,0.685863874,0.982307144,Atopic Dermatitis
13211,32211,35964,283.7696216,148.4267084,1844.332178,129.6949021,0.40032664,0.410139393,0.85229982,Atopic Dermatitis
12134,18248,30780,206.0452413,108.7605606,981.8904397,124.2959719,0.219848865,0.664949584,0.849338878,Atopic Dermatitis
28144,44696,50904,287.5853402,194.1659585,1531.040764,189.2988477,0.532796576,0.629676034,0.737671827,Atopic Dermatitis
